number,crn,name,days,time,room,instructor,avail_max,desc,gen_ed
THDA 294-02,10696,Digital Design for Live Performance,T R,09:40 am-11:10 am,THEATR 120,Davey Steinman,7 / 12,"This course teaches the art and technology of video projection and digital media in contemporary performance. Students will gain fluency designing and staging multimedia performances through a combination of classroom instruction and weekly Labs. Class sessions include lectures, discussions, tutorials, and hands-on performance with video cameras, projectors, and audio-video software. In Labs and term projects, students will create and perform original short pieces that stage their digital designs. Topics include: Experimental and Multimedia Performance Techniques; Cueing Video and Sound in the Performing Arts/Concerts/Dance/Theatre; Live Video Processing; Projection Mapping. Prerequisites: THDA 235 (Fundamentals of Scenography) or ART 233 (Photography 1). A previous course in Video Production may also count, with instructor permission. Please contact the instructor with any questions about course requirements or prerequisites.",
THDA 294-L1,10697,Digital Design for Live Performance Lab,W,12:00 pm-02:00 pm,THEATR 120,Davey Steinman,7 / 12,Varies by semester. Consult the department or class schedule for current listing.,
THDA 294-F1,10982,Dance and Performance Design,T R,09:40 am-11:10 am,THEATR 204,Mina Kinukawa,0 / 12,"The unique qualities of dance as an art, a form of expression, and a mode of communication present fascinating opportunities for designers. The bodies of dancers exist in a dynamic relationship with visual and sound environments, and in this way designers can play crucial roles in helping dancers communicate with their audiences and heightening the sensory impact of a performance. In this course, we will examine the design elements (scenery, costume, light, sound, and projection design) of a variety of dance performances with an emphasis on contemporary productions. We will attend dance performances at professional venues such as the Walker Arts Center, Northrop Auditorium, and Cowles Center.",
THDA 350-01,10700,Directing for the Stage,M W F,02:20 pm-04:30 pm,THEATR 004,Barbra Berlovitz,4 / 8,"This course prepares advanced theater students to direct public performances, and thus focuses on the acquisition of skills such as text analysis, dynamic storytelling, stage composition, and communication (with designers, actors, stage managers, and production team). Students will choose a scene from a play proposed by the instructor, research style and aesthetic, run auditions, cast the scene, facilitate a rehearsal process, and stage a live performance. They will also learn best collaborative practices, since the class unfolds in conversation with the Acting Approaches course (THDA360) and culminates in public performances at the Huber-Seikaly Theater. Prerequisite(s): THDA 120 and THDA 235, or permission of the instructor.",
THDA 21-01,10702,Dances of the African Diaspora I,T R,03:00 pm-04:30 pm,THEATR 120,Patricia Brown,2 / 18,"Dances of the African Diaspora I introduces students to selected dance forms from the African diaspora, especially those coming from West Africa and that emerged in the Caribbean and the Americas. The course is physically rigorous and emphasizes community building. A drummer accompanies the class, so students experience the fundamental connection between drums and dance as they learn the histories, techniques, and characteristics of Diasporic movement forms. Assignments include movement projects developed in class and presentations. All are welcome. May be repeated for credit. Letter grading, effective spring 2022.",
THDA 31-01,10808,Dance Improvisation,M W F,10:50 am-11:50 am,THEATR 120,Kaori Kenmotsu,13 / 18,"Find expression and embodiment through the practice of movement improvisation. This course is open to students at all levels of ability who have a desire to move and a willingness to explore in a non-competitive environment. Students learn to fall, roll and work with gravity in relation to themselves and others. The class includes an introduction to contact improvisation, the ""art-sport"" developed by Steve Paxton in 1972. This course brings balance to mind and body through physical awareness. May be repeated for credit. Letter grading, effective spring 2022.",
THDA 41-01,10703,Modern Dance I,W,01:10 pm-02:10 pm,THEATR 003,Marciano Silva Dos Santos,14 / 18,"This introductory level course explores the theory, technique, and terminology of modern dance as a performing art. Students engage fully with their bodies and minds as they deepen their strength, sense of rhythm, flexibility, and coordination. The course develops skills in inversions, floorwork, and balance based in a deepening awareness of alignment. May be repeated for credit. Letter grading, effective spring 2022.",
THDA 43-01,10704,Modern Dance III,M W,04:45 pm-06:00 pm,THEATR 120,Toni Pierce-Sands,13 / 18,"This intermediate to advanced level technique course values expression, precision, and stamina. Students develop an understanding of how to use tiny muscles hidden within large muscles as they practice complex movement phrases on the ground, in the center, and across the floor. They learn a range of turns, jumps and movement sequences that build strength and agility. May be repeated for credit. Prerequisite(s): THDA41 or THDA42 or permission of instructor",
THDA 51-01,10705,Beginning Ballet,T R,03:00 pm-04:30 pm,THEATR 003,Jill Lile,5 / 14,"This is a beginning ballet class designed for students who have never had ballet before. The goal is to demonstrate fundamental understanding and execution of basic ballet technique and to develop a foundation in movement that will carry over and support any other style of dance or physical practice. It will include barre and center work, across-the-floor combinations, and stretching and strengthening practices. Correct alignment, coordination, and body mechanics will be emphasized. May be repeated for credit. Letter grading, effective spring 2022.",
THDA 53-01,10706,Intermediate Ballet,M W F,03:30 pm-04:45 pm,THEATR 003,Jill Lile,-1 / 14,"This ballet class is for students with some experience in ballet. This class will continue to build on ballet barre and center work and increase skill and vocabulary. Flexibility, strength, placement, alignment, fluidity and connection of movement will be emphasized. May be repeated for credit. Prerequisite(s): THDA 51 or permission of instructor",
THDA 60-01,10707,Brown Spirits Dance Ensemble,T R,04:45 pm-06:45 pm,THEATR 120,Patricia Brown,14 / 18,"Macalester's Brown Spirits Dance Ensemble engages the techniques and histories of selected dance forms from the African diaspora, especially those coming from West Africa and that emerged in the Caribbean and the Americas. Brown Spirits Dance Ensemble performs in Theater and Dance Department concerts, as well as Macalester events such as Africa Week, Black History Month, and Family Fest. Completion of African-based Movement I and/or II is recommended. Two credits awarded at the end of the semester. Four credits of fine arts general distribution may be earned after two consecutive semesters of this ensemble. Prerequisite(s): Admission to the Ensemble is by audition/permission of instructor only.",
